numprec,hhincome,valueh
5,82000,245000
5,82000,245000
5,82000,245000
5,82000,245000
5,82000,245000
2,90000,200000
2,90000,200000
3,66600,105000
3,66600,105000
3,66600,105000
4,68800,450000
4,68800,450000
4,68800,450000
4,68800,450000
3,140000,300000
3,140000,300000
3,140000,300000
2,46500,50000
2,46500,50000
2,42700,230000
2,42700,230000
1,34000,195000
4,187350,190000
4,187350,190000
4,187350,190000
4,187350,190000
4,150000,330000
4,150000,330000
4,150000,330000
4,150000,330000
6,188000,240000
6,188000,240000
6,188000,240000
6,188000,240000
6,188000,240000
6,188000,240000
2,108000,130000
2,108000,130000
4,84000,150000
4,84000,150000
4,84000,150000
4,84000,150000
2,167180,350000
2,167180,350000
2,61000,240000
2,61000,240000
1,60000,160000
2,295000,1925000
2,295000,1925000
3,117100,320000
3,117100,320000
3,117100,320000
2,99600,400000
2,99600,400000
4,217000,150000
4,217000,150000
4,217000,150000
4,217000,150000
1,50120,190000
5,494100,425000
5,494100,425000
5,494100,425000
5,494100,425000
5,494100,425000
1,50000,150000
2,64000,125000
2,64000,125000
2,195000,275000
2,195000,275000
4,86000,285000
4,86000,285000
4,86000,285000
4,86000,285000
3,447000,250000
3,447000,250000
3,447000,250000
4,404000,450000
4,404000,450000
4,404000,450000
4,404000,450000
2,105000,160000
2,105000,160000
2,0,235000
2,0,235000
4,112250,155000
4,112250,155000
4,112250,155000
4,112250,155000
2,136030,210000
2,136030,210000
2,235000,215000
2,235000,215000
4,18400,128000
4,18400,128000
4,18400,128000
4,18400,128000
3,115900,260000
3,115900,260000
3,115900,260000
4,170100,280000
4,170100,280000
4,170100,280000
4,170100,280000
2,129600,185000
2,129600,185000
2,40700,270000
2,40700,270000
2,82800,135000
2,82800,135000
2,135000,150000
2,135000,150000
1,80000,110000
4,99300,250000
4,99300,250000
4,99300,250000
4,99300,250000
3,82000,170000
3,82000,170000
3,82000,170000
2,117140,400000
2,117140,400000
2,128000,225000
2,128000,225000
5,110000,280000
5,110000,280000
5,110000,280000
5,110000,280000
5,110000,280000
2,79401,200000
2,79401,200000
2,51920,17500
2,51920,17500
4,99000,120000
4,99000,120000
4,99000,120000
4,99000,120000
2,194840,230000
2,194840,230000
6,104000,190000
6,104000,190000
6,104000,190000
6,104000,190000
6,104000,190000
6,104000,190000
2,89800,180000
2,89800,180000
3,40000,200000
3,40000,200000
3,40000,200000
2,114800,160000
2,114800,160000
5,133350,250000
5,133350,250000
5,133350,250000
5,133350,250000
5,133350,250000
4,404000,1925000
4,404000,1925000
4,404000,1925000
4,404000,1925000
2,91000,160000
2,91000,160000
2,36100,160000
2,36100,160000
4,68800,110000
4,68800,110000
4,68800,110000
4,68800,110000
2,92800,256000
2,92800,256000
2,518000,600000
2,518000,600000
4,453600,350000
4,453600,350000
4,453600,350000
4,453600,350000
1,13800,10000
3,135000,295000
3,135000,295000
3,135000,295000
2,274800,200000
2,274800,200000
4,182700,270000
4,182700,270000
4,182700,270000
4,182700,270000
5,404000,315000
5,404000,315000
5,404000,315000
5,404000,315000
5,404000,315000
2,72140,165000
2,72140,165000
2,80000,165000
2,80000,165000
4,67310,40000
4,67310,40000
4,67310,40000
4,67310,40000
3,280500,130000
3,280500,130000
3,280500,130000
2,98000,130000
2,98000,130000
1,33600,180000
3,100750,350000
3,100750,350000
3,100750,350000
1,31000,201000
1,65000,195000
2,79100,173000
2,79100,173000
2,99000,180000
2,99000,180000
5,52300,1700
5,52300,1700
5,52300,1700
5,52300,1700
5,52300,1700
4,90000,225000
4,90000,225000
4,90000,225000
4,90000,225000
1,0,130
2,91000,220000
2,91000,220000
1,404000,135000
1,25000,200000
1,76260,110
2,83440,200000
2,83440,200000
6,205004,300000
6,205004,300000
6,205004,300000
6,205004,300000
6,205004,300000
6,205004,300000
3,280500,550000
3,280500,550000
3,280500,550000
1,57700,80000
3,116000,240000
3,116000,240000
3,116000,240000
2,118000,170000
2,118000,170000
1,36000,50000
4,101000,300000
4,101000,300000
4,101000,300000
4,101000,300000
3,128500,300000
3,128500,300000
3,128500,300000
3,100000,300000
3,100000,300000
3,100000,300000
3,80000,160000
3,80000,160000
3,80000,160000
2,123000,180000
2,123000,180000
6,241500,360000
6,241500,360000
6,241500,360000
6,241500,360000
6,241500,360000
6,241500,360000
3,227200,600000
3,227200,600000
3,227200,600000
4,208510,275000
4,208510,275000
4,208510,275000
4,208510,275000
2,145000,130000
2,145000,130000
3,127400,165000
3,127400,165000
3,127400,165000
2,160000,375000
2,160000,375000
4,124000,140000
4,124000,140000
4,124000,140000
4,124000,140000
1,52000,125000
4,62400,35000
4,62400,35000
4,62400,35000
4,62400,35000
3,127700,230000
3,127700,230000
3,127700,230000
3,245000,450000
3,245000,450000
3,245000,450000
2,57000,150000
2,57000,150000
5,29000,21000
5,29000,21000
5,29000,21000
5,29000,21000
5,29000,21000
3,424000,450000
3,424000,450000
3,424000,450000
3,136000,200000
3,136000,200000
3,136000,200000
2,73600,90000
2,73600,90000
2,104000,180000
2,104000,180000
3,113700,475000
3,113700,475000
3,113700,475000
3,84500,140000
3,84500,140000
3,84500,140000
3,125850,150000
3,125850,150000
3,125850,150000
2,112000,180000
2,112000,180000
2,457600,600000
2,457600,600000
3,110000,220000
3,110000,220000
3,110000,220000
5,74000,86000
5,74000,86000
5,74000,86000
5,74000,86000
5,74000,86000
1,14000,130000
7,66900,275000
7,66900,275000
7,66900,275000
7,66900,275000
7,66900,275000
7,66900,275000
7,66900,275000
2,139000,270000
2,139000,270000
2,67900,250000
2,67900,250000
2,95000,250000
2,95000,250000
2,51500,150000
2,51500,150000
2,12000,96000
2,12000,96000
1,25000,280000
2,130000,125000
2,130000,125000
4,225000,325000
4,225000,325000
4,225000,325000
4,225000,325000
2,71000,125000
2,71000,125000
4,135500,126000
4,135500,126000
4,135500,126000
4,135500,126000
4,105000,300000
4,105000,300000
4,105000,300000
4,105000,300000
3,130000,40000
3,130000,40000
3,130000,40000
2,23600,190000
2,23600,190000
3,65000,265000
3,65000,265000
3,65000,265000
2,79010,220000
2,79010,220000
2,125800,155000
2,125800,155000
2,65530,220000
2,65530,220000
2,157000,150000
2,157000,150000
2,62300,280000
2,62300,280000
1,428000,600000
3,48802,150000
3,48802,150000
3,48802,150000
2,133000,315000
2,133000,315000
1,1000,175000
6,96000,430000
6,96000,430000
6,96000,430000
6,96000,430000
6,96000,430000
6,96000,430000
2,198000,400000
2,198000,400000
3,207330,265000
3,207330,265000
3,207330,265000
3,107000,85000
3,107000,85000
3,107000,85000
4,64700,170000
4,64700,170000
4,64700,170000
4,64700,170000
3,260200,350000
3,260200,350000
3,260200,350000
4,70900,110000
4,70900,110000
4,70900,110000
4,70900,110000
3,206000,340000
3,206000,340000
3,206000,340000
4,104300,199000
4,104300,199000
4,104300,199000
4,104300,199000
5,175000,360
5,175000,360
5,175000,360
5,175000,360
5,175000,360
5,320000,345000
5,320000,345000
5,320000,345000
5,320000,345000
5,320000,345000
4,147500,145000
4,147500,145000
4,147500,145000
4,147500,145000
2,155500,350000
2,155500,350000
2,56000,650000
2,56000,650000
4,119500,210000
4,119500,210000
4,119500,210000
4,119500,210000
1,16100,120000
1,56000,135000
3,68600,250000
3,68600,250000
3,68600,250000
2,200210,180000
2,200210,180000
2,90500,145000
2,90500,145000
2,209000,230000
2,209000,230000
9,154200,210000
9,154200,210000
9,154200,210000
9,154200,210000
9,154200,210000
9,154200,210000
9,154200,210000
9,154200,210000
9,154200,210000
4,110000,230000
4,110000,230000
4,110000,230000
4,110000,230000
1,7200,102000
4,65000,165000
4,65000,165000
4,65000,165000
4,65000,165000
2,111000,185000
2,111000,185000
2,48900,151000
2,48900,151000
2,229000,200000
2,229000,200000
5,104000,450000
5,104000,450000
5,104000,450000
5,104000,450000
5,104000,450000
2,108800,164000
2,108800,164000
1,52004,165000
3,70000,235000
3,70000,235000
3,70000,235000
3,194500,215000
3,194500,215000
3,194500,215000
3,117400,250000
3,117400,250000
3,117400,250000
1,97500,252000
2,85000,150000
2,85000,150000
1,3960,120000
6,168501,220000
6,168501,220000
6,168501,220000
6,168501,220000
6,168501,220000
6,168501,220000
4,50000,117000
4,50000,117000
4,50000,117000
4,50000,117000
2,85480,225000
2,85480,225000
5,53500,180000
5,53500,180000
5,53500,180000
5,53500,180000
5,53500,180000
3,41700,321000
3,41700,321000
3,41700,321000
3,151000,340000
3,151000,340000
3,151000,340000
2,86000,150000
2,86000,150000
2,256600,270000
2,256600,270000
4,213800,209000
4,213800,209000
4,213800,209000
4,213800,209000
4,404000,530000
4,404000,530000
4,404000,530000
4,404000,530000
3,144010,250000
3,144010,250000
3,144010,250000
3,152000,260000
3,152000,260000
3,152000,260000
2,16500,45000
2,16500,45000
4,154200,239000
4,154200,239000
4,154200,239000
4,154200,239000
3,48200,18000
3,48200,18000
3,48200,18000
2,46000,145000
2,46000,145000
1,65000,160000
2,181000,350000
2,181000,350000
4,95000,222000
4,95000,222000
4,95000,222000
4,95000,222000
2,43500,120000
2,43500,120000
5,68000,240000
5,68000,240000
5,68000,240000
5,68000,240000
5,68000,240000
3,134000,195000
3,134000,195000
3,134000,195000
2,49300,110000
2,49300,110000
1,120000,180000
2,69640,350000
2,69640,350000
1,22000,3000
2,359000,155000
2,359000,155000
2,33200,125000
2,33200,125000
3,201400,240000
3,201400,240000
3,201400,240000
1,31920,185000
1,7240,225000
2,48000,120
2,48000,120
3,111000,265000
3,111000,265000
3,111000,265000
3,36600,100000
3,36600,100000
3,36600,100000
2,66000,20000
2,66000,20000
5,51200,125000
5,51200,125000
5,51200,125000
5,51200,125000
5,51200,125000
2,46610,115000
2,46610,115000
2,506400,525000
2,506400,525000
3,180000,400000
3,180000,400000
3,180000,400000
5,324000,36000
5,324000,36000
